,Open,High,Low,Close,Volume,VolumeTicks
2023.08.17 14:16,117685.00000,117700.00000,117630.00000,117640.00000,7398,25234
2023.08.17 14:17,117640.00000,117670.00000,117625.00000,117640.00000,6427,23058
2023.08.17 14:18,117645.00000,117670.00000,117630.00000,117650.00000,2885,10188
2023.08.17 14:19,117655.00000,117695.00000,117635.00000,117670.00000,5196,17591
2023.08.17 14:20,117670.00000,117670.00000,117600.00000,117655.00000,11967,42968
2023.08.17 14:21,117650.00000,117680.00000,117635.00000,117665.00000,5191,20235
2023.08.17 14:22,117670.00000,117675.00000,117640.00000,117660.00000,2875,10519
2023.08.17 14:23,117660.00000,117710.00000,117660.00000,117695.00000,6255,21877
2023.08.17 14:24,117695.00000,117715.00000,117670.00000,117670.00000,3734,13179
2023.08.17 14:25,117670.00000,117735.00000,117670.00000,117725.00000,5611,18754
2023.08.17 14:26,117730.00000,117745.00000,117705.00000,117710.00000,5922,21901
2023.08.17 14:27,117715.00000,117715.00000,117690.00000,117690.00000,2793,9899
2023.08.17 14:28,117695.00000,117715.00000,117680.00000,117710.00000,2649,9789
2023.08.17 14:29,117710.00000,117715.00000,117665.00000,117690.00000,4031,14147
2023.08.17 14:30,117695.00000,117710.00000,117680.00000,117690.00000,2755,9016
2023.08.17 14:31,117695.00000,117710.00000,117660.00000,117690.00000,5363,19578
2023.08.17 14:32,117690.00000,117710.00000,117655.00000,117670.00000,3664,13121
2023.08.17 14:33,117670.00000,117695.00000,117655.00000,117680.00000,2902,10560
2023.08.17 14:34,117680.00000,117680.00000,117620.00000,117630.00000,7064,23855
2023.08.17 14:35,117630.00000,117640.00000,117585.00000,117635.00000,11374,44600
2023.08.17 14:36,117635.00000,117690.00000,117550.00000,117560.00000,18454,72906
